,time_x,low,high,open,close,volume,pol
5,06-01-2021,33352.54,37000,34043.91,36859.26,45744.1032,39.69741593
6,07-01-2021,36200,40425,36859.26,39505.56,50346.30569,42.35865944
7,08-01-2021,36565.08,41986.37,39510.55,40665.15,48522.4849,16.94054802
8,09-01-2021,38800,41406.94,40642.15,40257.43,27152.97103,12.75414317
9,10-01-2021,34444,41452.12,40257.43,38171.57,43736.57032,8.077793616
10,11-01-2021,30100,38273.88,38168.89,35452.59,102503.1567,7.979217011
11,12-01-2021,32500,36604.51,35456.89,34038.98,48227.62752,38.07661219
12,13-01-2021,32309.04,37888,34035.53,37393.66,39608.73719,47.39490723
13,14-01-2021,36751.11,40127.66,37393.67,39125.14,31868.76049,43.01609675
14,15-01-2021,34298.93,39697,39123.05,36754.67,36421.05919,45.20333384
15,16-01-2021,35372.59,37948,36754.6,36006.94,20861.42545,43.24356602
16,17-01-2021,33850.03,36860,36004.8,35820,19182.04935,36.26130862
17,18-01-2021,34736.46,37402,35820.01,36624.23,16609.64108,51.90745743
18,19-01-2021,35895.11,37857,36624.23,35917.28,18904.77911,44.98601455
19,20-01-2021,33387.01,36415.34,35921.91,35503.09,25445.70801,26.59937522
20,21-01-2021,30011,35628.24,35498.85,30855.95,50473.11375,1.380635883
21,22-01-2021,28732,33867,30855.9,32984.93,48155.72162,26.42391637
22,23-01-2021,31432.19,33488.79,32982.66,32112.01,16139.81478,20.15728481
23,24-01-2021,30931.21,33086.53,32110,32288.56,13618.80098,23.63192043
24,25-01-2021,31920.8,34888,32293.18,32261.87,23045.66293,29.365625
25,26-01-2021,30830,32960.37,32260.52,32510.82,23535.83892,14.31003968
26,27-01-2021,29156,32584.62,32510.82,30407.13,46207.08537,33.32866053
27,28-01-2021,29902.14,34000,30414.11,33488.99,36007.06269,48.2781731
28,29-01-2021,31990,38570.13,33487.92,34262.11,72641.07975,37.06294997
29,30-01-2021,32852.86,34900,34262.11,34315.63,21362.15174,34.18939249
30,31-01-2021,32200,34387.75,34315.63,33137.74,16436.39758,25.55997703
31,01-02-2021,32333,34728.57,33137.75,33533.19,21975.41378,43.71981466
32,02-02-2021,33450,36000,33534.39,35512.67,19995.83908,75.52872364
33,03-02-2021,35393.8,37723.72,35513,37678.37,23781.96945,33.61211187
34,04-02-2021,36156.45,38769,37688.42,36975,31699.36292,16.70412302
35,05-02-2021,36605.87,38349,36976.59,38311.49,17842.70173,12.6058539
36,06-02-2021,38250,41000,38327.09,39265.43,27102.80603,15.71853099
37,07-02-2021,37371.35,39737.83,39266.1,38871.42,20297.87256,19.57457497
38,08-02-2021,38057.01,46750,38871.43,46448.1,47934.01039,24.64332752
39,09-02-2021,45020,48200,46453.66,46514.73,36418.79365,21.80368818
40,10-02-2021,43706.86,47349.99,46514.73,44850,25818.01158,19.16765563
41,11-02-2021,44011,48690,44850,47997.91,26222.60478,20.21783166
42,12-02-2021,46300,48912,47993.6,47408.34,23503.15584,19.79422644
43,13-02-2021,46300,48199,47408.34,47232.45,12020.87733,12.70964129
44,14-02-2021,47100.13,49700,47240.75,48680.69,15146.55244,16.99908381
45,15-02-2021,45768.46,49093.44,48667.23,47936.37,19432.15278,21.22671374
46,16-02-2021,47051.22,50645,47935.66,49158.71,23053.20561,22.26960399
47,17-02-2021,48942.87,52640.35,49141.43,52170.01,25675.17144,26.47816837
48,18-02-2021,50875,52549.99,52170.01,51601.73,15689.40275,17.46172139
49,19-02-2021,50725,56370.05,51596,55983.56,27961.48197,39.89421964
50,20-02-2021,54000.1,57563.57,55983.57,55923.52,22137.82194,24.18092782
51,21-02-2021,55531.23,58367,55921.44,57489.16,13530.43444,21.86819642
52,22-02-2021,46616,57577.69,57489.16,54142.13,49449.16576,8.758919094
53,23-02-2021,44888.08,54206.22,54125.67,48899.99,72300.58573,12.35310968
54,24-02-2021,47002,51415.41,48899.99,49737.82,30732.14949,20.62704602
55,25-02-2021,46700,52107.83,49737.81,47058.48,28011.20415,12.20382642
56,26-02-2021,44150,48464.64,47063.9,46326.2,36048.61819,4.40837854
57,27-02-2021,45055,48356.86,46319.79,46180.75,16290.28072,17.1298542
58,28-02-2021,43016,46656,46169.92,45231.75,22745.606,7.567068753
59,01-03-2021,45042.13,49829,45231.74,49639.4,25068.25044,18.48603258
60,02-03-2021,47075.11,50250,49635.3,48511.6,17063.56302,14.34606602
61,03-03-2021,48161.75,52666,48502.18,50360,21301.47724,25.81670577
62,04-03-2021,47502,51798.33,50370.33,48368.52,23386.97958,9.101039562
63,05-03-2021,46219.32,49473.99,48370.97,48769.47,25468.1803,16.89766414
64,06-03-2021,47077,49210,48766.01,48909.84,11877.83756,10.80595561
65,07-03-2021,48909.83,51459,48909.84,50978.61,13965.15473,22.91572969
66,08-03-2021,49328.62,52425,50976.22,52415.23,18856.28684,20.30697721
67,09-03-2021,51845.01,54936,52413.17,54916.38,21177.14954,17.66636295
68,10-03-2021,53025,57402.14,54921.61,55890.69,28326.07771,21.9102714
69,11-03-2021,54283,58113,55888.7,57815.47,24369.21217,20.16409903
70,12-03-2021,55050,58065.92,57820.15,57225.91,21760.53824,17.35240182
71,13-03-2021,56083.74,61788.45,57220.84,61178.5,22301.28589,37.44575455
72,14-03-2021,58950,61680,61181.38,58972.7,13581.96759,25.62352461
73,15-03-2021,54568,60601.07,58972.71,55636.15,31651.39184,12.83225289
74,16-03-2021,53221,56970,55629.08,56927.11,24432.37879,21.38025854
75,17-03-2021,54138.01,58996.38,56924.26,58925.54,22687.57433,16.64483045
76,18-03-2021,56996.15,60100,58925.54,57644.95,21459.49624,15.84397727
77,19-03-2021,56260,59461.99,57644.95,58039.66,16429.62974,21.64661436
78,20-03-2021,57827.97,59928,58026.91,58116.7,9725.281237,18.07183487
79,21-03-2021,55543.89,58651.22,58126.34,57363.32,11841.63878,13.99002683
80,22-03-2021,53739.5,58421.68,57377.29,54110.07,19512.15647,14.00196158
81,23-03-2021,53000,55858,54111.49,54345.54,19221.75674,14.49870972
82,24-03-2021,51673.82,57209.97,54333.27,52276.16,23775.21363,15.94999729
83,25-03-2021,50305,53238,52259.69,51325.01,29642.04416,13.1990855
84,26-03-2021,51250,55125.13,51320.76,55072.44,17843.00738,27.96788384
85,27-03-2021,53966,56640,55080.9,55856.53,11333.3335,19.91326659
86,28-03-2021,54701,56587.08,55856.54,55778.82,9235.803023,16.18511386
87,29-03-2021,54900,58400,55781.22,57613.48,17552.36885,15.64879406
88,30-03-2021,57000,59397.48,57613.76,58786.46,15105.07669,28.87152891
89,31-03-2021,56873.8,59800,58786.46,58800,17376.62673,11.86914874
90,01-04-2021,57930,59474.94,58800.01,58726.48,11096.33005,23.21893939
91,02-04-2021,58441.88,60055.02,58726.47,58981.04,10966.93018,21.92321212
92,03-04-2021,56943,59752,58981.04,57094.34,8405.264005,16.74458499
93,04-04-2021,56478.53,58500,57094.34,58215.94,6301.431879,15.15047258
94,05-04-2021,56817.64,59251.76,58216.73,59123.02,9204.863239,1.712843615
95,06-04-2021,57333.33,59475,59134.07,58019.98,10354.33015,14.52143759
96,07-04-2021,55400,58630,58021.67,55955.75,17787.29445,12.33501569
97,08-04-2021,55700,58152,55962.67,58083.1,8073.597317,14.74371453
98,09-04-2021,57670.51,58869.69,58083.1,58092.68,8094.746297,16.3949786
99,10-04-2021,57875.41,61218.97,58092.68,59778.6,12817.81107,24.83332672
100,11-04-2021,59177.06,60658.89,59778.59,59985.26,7278.965167,15.86772367
101,12-04-2021,59369,61199,59983.66,59839.82,11467.72753,21.23361156
102,13-04-2021,59799.01,63774.39,59836.88,63588.22,17897.76603,30.52027545
103,14-04-2021,61277.91,64899,63588.22,62971.8,22570.84113,31.41477633
104,15-04-2021,62036.73,63831.82,62971.8,63229.04,11209.45053,21.45830516
105,16-04-2021,60048.43,63604.34,63229.04,61427.27,19867.41322,17.97564564
106,17-04-2021,59700,62572.48,61427.27,60058.86,10847.76786,8.660597493
107,18-04-2021,51300,60437.97,60067.2,56274.41,36891.70959,8.580151365
108,19-04-2021,54187.85,57600,56273.65,55696.83,16838.39172,18.16101673
109,20-04-2021,53430.01,57111,55696.83,56499.29,18608.27984,21.49337503
110,21-04-2021,53620.91,56810.56,56477.67,53800.86,15584.08398,18.41380607
111,22-04-2021,50400,55469.98,53795.62,51701.59,30427.89154,33.70609013
112,23-04-2021,47464.65,52130.58,51695.98,51187.27,38794.85818,38.00229457
113,24-04-2021,48726.87,51260.61,51187.75,50089.15,11839.14356,18.66485308
114,25-04-2021,47044.01,50591.38,50101.42,49121,14633.51207,17.10212354
115,26-04-2021,48817.62,54400,49121,54053.6,18005.22399,39.47635226
116,27-04-2021,53321,55509.39,54047.8,55069.62,13957.0865,20.35353415
117,28-04-2021,53887,56476.17,55069.61,54894.03,16484.33678,28.64272688
118,29-04-2021,52369.61,55226.86,54889.81,53580,14592.31689,33.37292899
119,30-04-2021,53068.43,58075.01,53580,57798.77,16536.33289,40.29331973
120,01-05-2021,57050.94,58550,57798.77,57859.28,10787.04933,22.4187509
121,02-05-2021,56072,57972.26,57859.28,56625.2,7647.625781,22.79585017
122,03-05-2021,56500,58986,56625.21,57212.73,15165.00649,39.63922799
123,04-05-2021,53057.7,57247.24,57212.73,53241.92,23492.05868,28.27696489
124,05-05-2021,52913.02,57980.86,53241.91,57515.69,22918.90459,47.36073773
125,06-05-2021,55288,58400,57515.69,56440.66,18244.13605,33.6030586
126,07-05-2021,55300,58735.95,56444.82,57380.39,18323.8958,31.23549657
